id,full_name,credit_sco,gender,age,occupation,balance,monthly_ir,origin_province,tenure_ye,married,nums_card,nums_service,active_member,last_transaction_month,customer_segment,engagement_score,loyalty_level,digital_behavior,risk_score,risk_segment,cluster_group,exit
18625,Trần Gia Ánh,678,0,65,4,53460379,34000000,5,0,1,2,3,1,34025405,1,67,0,0,0.1668,0,1,0
70184,Hoàng Thu Huy,635,1,43,1,27520705,25000000,2,2,1,3,3,0,0,1,20,0,1,0.3408,0,2,0
60536,Bùi Trần Hồng,653,0,61,2,48313519,22000000,5,3,1,3,3,1,18969791,1,69,1,0,0.2171,0,2,0
65234,Đặng Ngọc Huy,667,1,31,2,11133197,20000000,5,0,1,2,4,0,0,1,21,0,1,0.3173,0,1,0
58018,Dương Quang Thảo,744,0,44,5,150142488,69000000,5,2,1,1,2,0,0,3,10,0,1,0.2179,0,2,0
43779,Hoàng Quang Xuân,674,0,57,4,32303561,23000000,5,0,1,3,4,1,27785777,1,76,0,0,0.1864,0,1,0
3299,Mai Quang Hoàng,668,1,29,8,2294985,8000000,5,0,2,2,2,0,0,2,14,0,1,0.3843,0,1,0
14781,Hoàng Ngọc Yến,724,0,57,0,197320437,108000000,6,1,1,3,7,0,0,3,35,2,1,0.1521,0,4,0
50014,Lê Ngọc Trọng,739,1,63,9,36814391,134000000,5,0,1,4,7,0,0,3,38,0,1,0.1723,0,4,0
59676,Bùi Hoàng Ngọc,741,0,53,8,7370814,8000000,4,2,1,2,3,0,0,2,17,0,1,0.3257,0,2,1
18924,Dương Thanh Trung,647,1,46,4,32028357,35000000,5,0,1,2,2,0,0,0,14,0,1,0.3195,0,1,0
27082,Nguyễn Trần Trung,694,1,46,0,142469290,86000000,8,1,3,5,4,0,0,3,30,0,1,0.1995,0,4,0
78003,Mai Anh Quang,668,1,24,7,3339795,10000000,5,2,3,2,2,0,0,2,14,0,1,0.3758,0,2,1
48300,Hoàng Thanh Hồng,674,0,41,7,21676475,26000000,1,0,1,4,1,0,0,1,16,0,1,0.3277,0,1,1
29612,Phạm Kim Quang,717,1,75,6,44932723,8000000,1,4,1,1,5,0,0,2,22,0,1,0.2789,0,2,0
3116,Phạm Trần Khoa,750,1,47,9,222583769,123000000,4,3,1,1,4,0,0,3,18,0,1,0.1881,0,4,0
44065,Nguyễn Thu Xuân,624,0,84,8,10660993,5000000,7,0,0,2,2,0,0,2,14,0,1,0.4158,1,1,0
44992,Vũ Thu Vi,684,0,64,7,42588821,29000000,5,4,1,2,7,0,0,1,32,0,1,0.2286,0,2,0
43068,Nguyễn Anh Hồng,597,0,50,8,38332117,10000000,3,2,1,1,3,0,0,2,14,0,1,0.4048,1,2,1
33524,Trần Xuân Trọng,623,1,54,6,19911879,12000000,5,2,2,2,4,0,0,2,21,0,1,0.3702,0,2,0
25033,Đặng Hữu Nhiên,800,1,43,9,287638678,130000000,3,2,1,1,6,0,0,3,26,0,1,0.16,0,4,0
27684,Bùi Xuân Lan,673,0,64,1,25722316,25000000,4,2,1,2,5,0,0,1,25,0,1,0.2787,0,2,0
71482,Lê Trần Vi,781,0,37,5,88785821,71000000,3,4,1,5,8,0,0,3,45,2,1,0.1492,0,4,0
6212,Phạm Thị Chi,684,0,72,5,52446863,27000000,1,2,1,1,3,0,0,1,14,0,1,0.2801,0,2,0
70968,Vũ Hoàng Vi,715,0,42,8,10075610,11000000,7,0,1,2,5,1,7636064,2,72,0,0,0.186,0,1,0
44090,Phạm Kim Duyên,676,0,33,3,5404816,18000000,5,1,1,2,3,1,4299492,1,60,2,0,0.2285,0,1,0
70771,Vũ Thu Bảo,706,1,75,1,37276675,30000000,5,1,1,2,3,0,0,1,17,0,1,0.2622,0,1,0
71690,Phạm Anh Hưng,693,1,43,8,7274315,15000000,5,1,1,1,2,0,0,1,10,0,1,0.3314,0,1,1
23670,Hoàng Hữu Tú,627,1,43,6,8630049,13000000,6,0,0,2,5,1,9153094,2,72,0,0,0.2568,0,1,0
4853,Mai Văn Dũng,605,1,39,8,6655719,4000000,3,0,1,2,2,1,1800536,2,58,0,0,0.3375,0,1,0
77654,Đặng Văn Vi,647,0,46,3,157008548,39000000,5,4,1,4,2,0,0,0,20,0,1,0.2923,0,2,0
18077,Trần Thị Quang,684,1,51,3,58926888,15000000,5,4,2,3,1,0,0,1,13,0,1,0.3277,0,2,0
9995,Nguyễn Minh Vũ,800,1,53,9,169232631,94000000,5,4,0,4,8,0,0,3,42,2,1,0.1414,0,4,0
18123,Bùi Quang Chi,703,0,52,8,15213346,8000000,1,3,1,4,1,0,0,2,16,0,1,0.342,0,2,0
29587,Đặng Anh Hoàng,715,1,36,6,18700986,10000000,8,3,1,1,5,0,0,2,22,0,1,0.2855,0,2,0
42680,Mai Thanh Chi,729,0,41,5,52349807,58000000,5,2,1,5,2,0,0,0,22,0,1,0.2306,0,2,0
30818,Đặng Minh Vi,580,0,30,8,2194514,6000000,5,2,1,1,1,0,0,2,7,0,1,0.4894,1,2,1
28337,Nguyễn Trần Vi,698,0,52,9,93299308,56000000,5,2,3,2,3,0,0,0,17,0,1,0.2131,0,2,0
63159,Vũ Minh Hoàng,673,1,55,2,53317968,20000000,5,0,1,1,1,0,0,1,7,0,1,0.3299,0,1,0
49429,Bùi Thu Thảo,731,0,41,5,250871704,62000000,5,3,2,5,3,0,0,3,26,0,1,0.1992,0,4,0
5241,Nguyễn Thị Bảo,721,1,45,4,10474302,14000000,5,2,1,2,3,0,0,2,17,0,1,0.3095,0,2,0
73030,Mai Trần Mai,691,0,53,8,7323079,8000000,5,2,3,2,5,1,8185880,2,75,2,0,0.2048,0,2,0
18243,Hoàng Đức Vi,678,0,40,6,7216159,9000000,1,0,1,2,3,0,0,2,17,0,1,0.346,0,1,0
22663,Hoàng Hoàng Bảo,719,1,49,7,16548223,16000000,6,0,0,2,5,1,29105588,1,80,0,0,0.17,0,1,0
16595,Hoàng Thanh Hồng,706,0,55,1,9201447,17000000,1,2,1,1,2,0,0,1,10,0,1,0.3176,0,2,0
46924,Phạm Minh Mai,691,0,42,7,49311934,27000000,8,4,1,3,3,0,0,1,20,0,1,0.2738,0,2,0
62296,Nguyễn Kim Dũng,703,1,37,0,73005168,135000000,5,1,0,4,4,0,0,3,27,0,1,0.2016,0,4,0
16728,Đặng Anh Khoa,680,1,53,8,6252698,5000000,2,2,1,2,1,0,0,2,10,0,1,0.3787,0,2,1
15191,Hoàng Kim Minh,680,1,63,4,6195303,20000000,5,2,1,1,5,0,0,1,22,0,1,0.2988,0,2,0
76749,Phạm Hữu Tùng,662,1,42,8,8156606,6000000,0,2,1,1,2,0,0,2,10,0,1,0.379,0,2,1
6723,Phạm Thị Thảo,777,0,42,0,69927405,80000000,5,2,1,3,4,1,67751200,3,72,2,0,0.0971,0,4,0
44408,Phạm Đức Huy,671,1,40,6,25372482,18000000,5,1,1,1,2,1,1047879,1,51,2,0,0.2273,0,1,0
74549,Bùi Kim Nam,606,1,39,3,41185153,38000000,5,3,0,1,2,0,0,0,10,0,1,0.3515,0,2,1
54650,Lê Anh Dũng,783,1,30,5,55991030,57000000,5,1,0,4,5,0,0,0,31,0,1,0.1923,0,4,0
67376,Nguyễn Quang Ngọc,793,0,29,9,78010306,65000000,1,0,1,2,7,1,70042731,3,83,0,0,0.0583,0,4,0
54606,Trần Anh Châu,710,1,85,6,9276072,9000000,8,1,0,3,1,0,0,2,13,0,1,0.346,0,1,0
57693,Lê Ngọc Hoàng,694,1,49,7,10713386,14000000,5,2,1,2,1,0,0,2,10,0,1,0.3402,0,2,0
19988,Đặng Thị Xuân,687,0,50,4,33297119,38000000,5,1,1,2,5,1,32880732,0,73,2,0,0.1305,0,1,0
4449,Đặng Thu Châu,668,1,58,6,22151841,15000000,5,3,1,1,4,0,0,1,18,0,1,0.318,0,2,0
34832,Lê Minh Trung,600,1,27,4,43394461,26000000,5,1,1,2,1,0,0,1,10,0,1,0.3933,0,1,0
55812,Dương Thị Vi,674,0,43,5,55334245,44000000,1,4,3,2,5,0,0,0,25,0,1,0.2304,0,2,0
2475,Nguyễn Minh Huy,722,1,27,9,52255725,47000000,5,1,0,5,3,0,0,0,26,0,1,0.2241,0,1,0
71309,Hoàng Gia Anh,632,1,38,8,7939925,9000000,6,2,3,2,1,0,0,2,10,0,1,0.4158,1,2,0
67557,Trần Anh Minh,647,1,29,5,52713048,61000000,5,4,0,5,3,0,0,3,26,0,1,0.271,0,2,0
19609,Đặng Hữu Phúc,575,1,39,2,14398794,12000000,5,3,1,3,1,0,0,2,13,0,1,0.4597,1,2,0
30988,Dương Quang Dương,640,0,26,4,37043452,13000000,1,4,0,4,2,0,0,2,20,0,1,0.3688,0,2,1
20715,Vũ Quang Chi,677,0,25,5,27754333,31000000,0,1,1,5,3,0,0,1,26,0,1,0.2867,0,1,1
34152,Bùi Thị Hồng,800,0,31,9,68263737,75000000,8,2,3,3,3,0,0,3,20,0,1,0.2149,0,4,0
31914,Hoàng Xuân Thảo,655,0,49,4,48783565,15000000,5,4,0,2,1,0,0,1,10,0,1,0.3589,0,2,0
14334,Dương Kim Tùng,726,1,61,4,44151465,39000000,5,1,0,3,6,0,0,0,31,0,1,0.2046,0,1,0
45115,Lê Trần Dương,740,0,66,7,19924030,18000000,5,0,1,5,3,0,0,1,26,0,1,0.2937,0,1,0
68312,Lê Minh Bảo,589,1,45,2,5388625,13000000,5,0,0,2,5,1,2512856,2,67,0,0,0.3005,0,1,0
14747,Đặng Đức Ánh,776,0,55,0,128283230,187000000,3,3,0,1,8,0,0,3,33,0,1,0.1448,0,4,0
45780,Đặng Ngọc Ánh,754,0,57,9,80432001,60000000,5,4,1,3,8,0,0,3,39,2,1,0.1504,0,4,0
16022,Mai Thị Trung,778,1,39,9,75199481,114000000,8,0,1,4,6,0,0,3,34,0,1,0.1762,0,4,0
43835,Đặng Văn Mai,579,0,52,3,14976898,19000000,0,0,3,3,2,0,0,1,16,0,1,0.4287,1,1,0
32256,Bùi Ngọc Dũng,619,1,25,3,31568056,28000000,4,2,0,4,2,0,0,1,20,0,1,0.3617,0,2,0
115,Đặng Kim Lan,676,0,55,4,12589404,15000000,5,2,0,2,2,0,0,1,14,0,1,0.3418,0,2,0
45130,Vũ Kim Xuân,698,0,34,8,40196416,6000000,5,3,1,3,1,0,0,2,13,0,1,0.3363,0,2,0
56955,Nguyễn Kim Châu,705,1,47,5,46954659,52000000,7,1,1,4,5,1,59307672,0,82,2,0,0.0894,0,1,0
38806,Dương Hữu Dương,618,0,31,6,14118524,15000000,5,0,1,4,2,1,17093863,1,71,0,0,0.2934,0,1,0
34510,Bùi Gia Hương,800,0,26,0,25527428,104000000,5,0,1,3,7,1,74925421,3,82,0,0,0.0717,0,4,0
18551,Phạm Trần Hương,662,0,50,5,54787235,42000000,1,4,2,3,3,0,0,0,20,0,1,0.2715,0,2,0
67987,Trần Gia Khoa,739,1,51,0,267188781,153000000,8,0,1,2,3,1,25385622,3,59,0,0,0.0934,0,4,0
35265,Lê Thị Hương,609,0,38,2,28228389,21000000,5,2,1,3,3,0,0,1,20,0,1,0.3745,0,2,0
31252,Đặng Thanh Chi,651,0,37,3,32386838,35000000,5,0,0,1,3,0,0,0,14,0,1,0.3029,0,1,0
55179,Dương Gia Duyên,547,0,36,7,64051675,27000000,5,1,1,5,2,0,0,1,22,0,1,0.4272,1,1,1
23291,Lê Trần Vi,681,0,53,0,77535803,84000000,8,2,1,5,1,0,0,3,19,0,1,0.2573,0,2,0
52506,Nguyễn Thu Tú,711,1,54,4,28341723,18000000,4,1,1,4,7,0,0,1,38,2,1,0.2395,0,1,0
77987,Trần Thị Yến,702,0,72,3,91918095,37000000,3,3,1,5,4,0,0,0,30,0,1,0.2248,0,2,0
59443,Hoàng Thu Dương,586,0,32,2,41414003,9000000,5,3,1,1,1,0,0,2,7,0,1,0.4419,1,2,1
76876,Dương Thu Lan,713,0,39,4,15547035,18000000,2,2,1,2,1,0,0,1,10,0,1,0.3217,0,2,1
66352,Hoàng Xuân Thảo,692,0,37,0,31438982,75000000,2,2,0,4,6,1,47548098,3,81,2,0,0.0897,0,4,0
72824,Dương Thu Nhiên,665,1,49,6,13423252,18000000,5,0,3,1,2,1,19134763,1,61,0,0,0.241,0,1,0
26944,Hoàng Trần Ngọc,664,0,50,1,29732691,33000000,5,1,0,2,4,0,0,1,21,0,1,0.2824,0,1,0
71113,Dương Thị Duyên,740,0,57,8,7679660,8000000,8,1,1,2,2,0,0,2,14,0,1,0.3377,0,1,0
43980,Phạm Trần Quang,693,1,40,0,48666441,84000000,5,0,1,5,4,0,0,3,30,0,1,0.2135,0,1,0
6894,Hoàng Ngọc Duyên,732,0,38,4,39792417,21000000,8,0,0,4,4,1,12258322,1,73,0,0,0.1619,0,1,0
22016,Dương Hữu Phúc,623,1,61,2,5347373,7000000,7,3,1,4,1,0,0,2,16,0,1,0.4336,1,2,1
68183,Dương Thu Ngọc,702,0,61,7,77026890,27000000,6,0,0,5,5,1,7077500,1,76,0,0,0.1294,0,1,0
36495,Đặng Trần Yến,670,0,31,7,8564801,13000000,0,0,0,1,3,1,5067804,2,58,0,0,0.2389,0,1,0
15615,Trần Hữu Huy,618,1,51,3,10126418,18000000,5,2,1,1,2,1,18671241,1,61,2,0,0.2914,0,2,0
7057,Phạm Đức Trọng,663,1,55,7,24724217,12000000,6,2,1,2,3,0,0,2,17,0,1,0.3401,0,2,1
68492,Phạm Gia Yến,668,0,43,2,67528268,23000000,1,2,1,3,4,0,0,1,24,0,1,0.2885,0,2,0
53881,Lê Thu Linh,623,0,49,3,27753932,27000000,8,3,0,4,4,0,0,1,27,0,1,0.3362,0,2,0
38251,Hoàng Quang Hương,676,0,44,0,100702188,65000000,5,3,1,1,4,0,0,3,18,0,1,0.2217,0,2,0
61255,Mai Anh Vân,734,0,63,1,76700742,27000000,1,0,1,3,3,1,12519130,1,65,0,0,0.1545,0,1,0
68202,Đặng Quang Dũng,683,1,33,5,46288658,35000000,8,3,1,2,5,0,0,0,25,0,1,0.2416,0,2,0
31354,Hoàng Anh Nam,675,1,58,4,48529965,29000000,5,2,0,2,5,0,0,1,25,0,1,0.261,0,2,0
38408,Vũ Hữu Quang,641,1,46,8,5817085,12000000,5,0,1,1,1,0,0,2,7,0,1,0.4046,1,1,0
12812,Trần Quang Hưng,641,1,41,1,77754604,21000000,0,3,1,3,2,0,0,1,16,0,1,0.3428,0,2,0
7354,Lê Ngọc Nam,602,1,63,6,4048917,11000000,2,1,1,2,5,0,0,2,25,0,1,0.4,1,1,0
27736,Bùi Thu Dũng,709,1,28,0,93992407,56000000,3,3,1,2,5,0,0,0,25,0,1,0.186,0,2,0
27694,Hoàng Thanh Yến,651,0,67,3,113200121,30000000,2,3,1,3,4,0,0,1,24,0,1,0.2853,0,2,0
21150,Hoàng Hữu Hoàng,613,1,67,6,2034397,9000000,5,0,1,4,1,0,0,2,16,0,1,0.4513,1,1,1
46130,Trần Văn Ngọc,674,0,48,5,245411952,41000000,5,2,1,3,1,0,0,0,13,0,1,0.2684,0,2,0
18978,Vũ Kim Vũ,669,1,41,6,27552891,14000000,5,1,0,2,4,0,0,2,21,0,1,0.3163,0,1,1
66319,Mai Thị Thành,643,1,63,2,39147780,10000000,5,0,2,4,1,1,4158485,2,60,0,0,0.2786,0,1,0
75321,Hoàng Văn Châu,730,1,30,9,211748777,100000000,0,2,0,2,7,0,0,3,32,0,1,0.1512,0,4,0
19278,Nguyễn Anh Hưng,659,1,90,4,23131109,21000000,5,1,2,2,3,0,0,1,17,0,1,0.3269,0,1,1
50793,Phạm Thanh Lan,693,0,44,0,72791297,67000000,5,1,1,3,1,0,0,3,13,0,1,0.2461,0,1,0
59115,Đặng Thanh Anh,628,1,25,7,33433023,23000000,5,2,1,2,2,0,0,1,14,0,1,0.362,0,2,0
25265,Nguyễn Hữu Dũng,606,1,53,6,13246129,9000000,5,0,1,2,1,0,0,2,10,0,1,0.4357,1,1,0
62525,Hoàng Minh Yến,769,0,50,0,287423665,148000000,5,3,1,2,7,0,0,3,32,0,1,0.1475,0,4,0
22488,Vũ Đức Quang,714,1,61,0,183251344,67000000,5,3,0,3,5,0,0,3,28,0,1,0.178,0,4,0
14069,Phạm Quang Trung,749,1,58,6,65339099,10000000,1,3,3,2,4,0,0,1,21,0,1,0.2829,0,2,0
72880,Nguyễn Xuân Huy,683,1,48,6,7238188,11000000,0,0,2,1,3,1,1642672,2,56,0,0,0.232,0,1,0
23774,Phạm Anh Bảo,778,1,50,9,617944001,107000000,7,4,1,3,8,0,0,3,39,2,1,0.1258,0,4,0
66759,Bùi Kim Yến,651,0,48,2,8103779,9000000,5,1,1,1,3,0,0,2,14,0,1,0.3716,0,1,1
16339,Bùi Xuân Hồng,757,0,60,7,30092924,20000000,5,1,1,1,7,0,0,1,29,0,1,0.2348,0,1,0
47668,Hoàng Thu Dương,646,0,33,1,44056393,25000000,7,1,0,3,5,1,11036398,1,72,2,0,0.1942,0,1,0
16475,Lê Thu Hưng,627,1,54,2,59698925,21000000,5,1,1,3,7,0,0,1,35,2,1,0.2975,0,1,0
14689,Lê Thu Chi,725,0,43,0,130802807,114000000,8,1,1,3,3,0,0,3,20,0,1,0.207,0,4,0
43332,Mai Hoàng Dương,729,0,61,5,56795893,34000000,5,2,1,4,3,1,19242518,1,69,2,0,0.1441,0,1,0
25914,Hoàng Văn Chi,729,0,43,1,29434283,20000000,5,4,0,1,3,0,0,1,14,0,1,0.285,0,2,0
13919,Trần Quang Linh,680,0,78,8,7297315,4000000,8,0,1,3,2,1,3151760,2,64,0,0,0.2614,0,1,1
9712,Vũ Anh Thảo,646,0,46,7,18705387,11000000,0,2,1,2,3,1,10908677,2,67,2,0,0.2575,0,2,1
41636,Bùi Quang Yến,665,0,46,1,27349973,24000000,1,2,0,3,1,0,0,1,13,0,1,0.3379,0,2,0
43335,Mai Hoàng Yến,675,0,44,1,12887612,30000000,5,3,1,3,4,0,0,1,24,0,1,0.2875,0,2,0
6921,Dương Hữu Minh,657,1,43,2,14488898,9000000,5,2,1,4,2,0,0,2,20,0,1,0.3711,0,2,0
61782,Hoàng Gia Duyên,653,0,40,8,3369852,5000000,5,1,0,2,3,0,0,2,17,0,1,0.3882,0,1,1
50541,Trần Hữu Bảo,654,1,39,6,4709731,9000000,5,3,1,2,3,0,0,2,17,0,1,0.3751,0,2,1
41172,Vũ Đức Nhiên,741,1,75,9,119013500,73000000,4,3,1,4,5,0,0,3,31,0,1,0.1832,0,4,0
73682,Vũ Thị Thảo,699,0,36,8,19120300,9000000,5,1,0,5,2,0,0,2,22,0,1,0.3257,0,1,1
62717,Phạm Quang Huy,680,1,47,4,104940558,18000000,8,2,2,1,2,0,0,1,10,0,1,0.3062,0,2,0
79296,Vũ Xuân Lan,729,0,49,1,13570255,30000000,5,0,0,3,4,1,9711720,1,67,0,0,0.1569,0,1,0
36906,Vũ Thu Thảo,637,0,81,5,26373342,36000000,3,2,3,2,2,0,0,0,14,0,1,0.3299,0,2,1
9877,Hoàng Gia Châu,683,1,29,3,11176125,20000000,1,3,1,5,4,0,0,1,30,0,1,0.3012,0,2,1
45389,Dương Hoàng Xuân,685,0,72,3,67818928,44000000,5,0,1,5,3,1,19099306,0,71,0,0,0.137,0,1,0
38916,Lê Quang Nam,652,1,77,4,9078506,15000000,5,0,2,4,3,0,0,1,23,0,1,0.3572,0,1,0
6821,Dương Hoàng Linh,692,0,43,9,128608503,88000000,5,4,1,2,5,0,0,3,25,0,1,0.1902,0,4,0
74757,Đặng Anh Hương,691,0,71,5,192973434,30000000,5,3,1,1,4,0,0,0,18,0,1,0.2388,0,2,0
59063,Lê Anh Tùng,696,1,51,4,70067296,33000000,5,1,0,2,3,0,0,1,17,0,1,0.2526,0,1,0
17276,Bùi Trần Mai,671,0,42,2,6455258,18000000,8,0,0,1,3,0,0,1,14,0,1,0.3363,0,1,0
63607,Mai Kim Linh,701,0,70,4,63542341,32000000,1,3,3,3,4,0,0,1,24,0,1,0.2392,0,2,0
63036,Nguyễn Hoàng Huy,719,1,83,5,51910726,34000000,2,0,2,2,3,0,0,1,17,0,1,0.2502,0,1,0
67807,Bùi Ngọc Chi,772,0,35,9,144328668,130000000,5,1,1,3,8,0,0,3,39,2,1,0.1434,0,4,0
791,Lê Thị Tùng,600,1,71,0,136807475,69000000,2,0,2,4,2,0,0,3,20,0,1,0.319,0,1,0
418,Hoàng Anh Trọng,670,1,50,2,48246163,20000000,5,2,1,2,4,0,0,1,21,0,1,0.2966,0,2,0
42853,Phạm Anh Lan,726,0,86,5,40984790,31000000,8,3,1,1,3,0,0,1,14,0,1,0.259,0,2,0
3246,Dương Đức Hương,739,0,46,6,5931660,11000000,5,1,1,2,4,0,0,2,21,0,1,0.3099,0,1,0
10364,Đặng Trần Huy,666,1,39,6,30321315,8000000,8,0,1,3,2,0,0,2,16,0,1,0.3552,0,1,0
53380,Nguyễn Thanh Lan,660,0,68,0,113486529,56000000,0,3,1,1,6,0,0,0,26,0,1,0.2113,0,2,0
27801,Dương Minh Hoàng,715,1,56,5,74937982,35000000,5,3,1,1,6,0,0,0,26,0,1,0.2063,0,2,0
7689,Mai Văn Yến,703,0,89,0,107909225,82000000,8,0,1,4,7,1,126096919,3,93,0,0,0.0544,0,3,0
76357,Lê Đức Dương,737,0,52,0,304191011,99000000,0,4,0,2,1,0,0,3,10,0,1,0.2219,0,4,0
49599,Vũ Thanh Quang,684,1,41,0,115933217,140000000,5,3,1,2,6,0,0,3,28,0,1,0.187,0,4,0
9335,Bùi Thu Quang,628,1,46,6,11066773,10000000,1,0,0,4,4,1,8884773,2,76,0,0,0.2713,0,1,1
7599,Nguyễn Quang Yến,737,0,55,3,133519761,47000000,5,4,1,4,4,0,0,0,27,0,1,0.2003,0,4,0
57747,Vũ Hữu Mai,706,0,65,7,35997722,18000000,5,4,1,3,2,0,0,1,16,0,1,0.2991,0,2,0
7256,Đặng Thị Minh,681,1,81,6,15687639,12000000,2,0,1,3,2,1,30311123,2,72,0,0,0.2351,0,1,0
60764,Phạm Anh Dương,713,0,52,0,173030900,138000000,4,1,1,2,8,0,0,3,36,2,1,0.1412,0,4,0
37230,Đặng Trần Linh,707,0,64,8,24416506,15000000,5,3,1,4,3,0,0,1,23,0,1,0.2973,0,2,0
